Location,Review,Flavor
India,It was way too sweet and I didn't enjoy it as much,Berries
India,Good product,Berries
India,This is watery and full of sugar. Will not be buying this again,Berries
India,Loved it till the end,Berries
India,Nice product,Berries
India,Fungus on packet,Berries
India,Good,Berries
India,Good ....taste,Banana
India,"I just love the taste but the price is bit high...,..",Banana
India,VERY GOOD PRODUCT - THANKS TO AMAZON TO BRING THIS PRODUCT FOR INDIAN CONSUMERS.,Banana
India,We hv been having it for 17 years very good price,Banana
India,Personally I felt not my bowl friendly,Banana
India,As bought from Uk.. .,Banana
India,excellent,Banana
India,It tastes like tonic,Banana
India,Worst,Banana
India,The product is good but it's overpriced here.2 star for price,Banana
India,I like everything About it,Banana
India,"Good milk for kids, and consistency is good",Banana
India,Worth it,Banana
India,Value for money,Banana
India,Very Good,Banana
India,"Because of added calcium and various vitamins the taste of this Hershey's strawberry milkshake has what you would find in paracetamol. Yes, it has that intense medicine flavor. The strawberry taste is lost in between the fortified nutrient addition. Milk is good and rich, but so is plain milk from your trusted dairy. I had somewhat high hopes because of the brand Hershey's, and also because I have had a delicious experience with similarly fortified milkshakes by Britannia and Mother Dairy. This one has a parallel opposite taste compared to them. Better to use NestlÃ© milkshake powder that comes in various flavors including strawberry, vanilla and banana, use quality milk and a scoop of your preferred ice cream and blend it at home. That will be a true milkshake with delicious taste.",Banana
India,Nice,Banana
India,Favourite of the kids. For quick home work done... a nice treat,Banana
India,Products are same as photos and value for money while compared to local super markets,Banana
India,Tooooo sugery,Banana
India,For people with a liking for chocolate.,Banana
India,Taste is bad.didn't expect such bad quality from hersheys.,Banana
India,"Quite an ordinary product. Consider that it is an international brand , a much better taste and flavour was expected. Disappointed.",Banana
India,"Taste is ok but grainy texture not so .one tends to get bored after continuous use
 Suggest bigger packs for value for money for medium size families",Banana
India,"This is diluted and overpriced.
 Go for Cavin, Cavin's milkshake are way better and thick.",Banana
India,Great taste.. once in s while a good drink to have with a cheat meal..,Banana
India,"Good flavor, nice package, good work. thank u",Banana
India,Good,Banana
India,QUALITY PRODUCT,Banana
India,My baby loves it,Banana
India,Taste was too good ...love it,Banana
India,"I bought this smoothie for my kids, and it was shocking that 4 of them were totally spoiled. All of them were of same batch and mfg date, edible products should be quality checked properly before releasing them to consumers. Highly not recommendedâ€¦.",Banana
India,Loved it :),Banana
India,Good Taste,Banana
India,It has a very artificial taste,Banana
India,Nice flavor,Banana
India,"Out of 6, 5 packets had spoilt milk",Banana
India,Good,Banana
India,"Taste is not adequate, money wasted",Banana
India,It's a fraud. One packet was empty.,Banana
India,"The Crevea smoothie is a refreshing, guilt-free option with low sugar content. Crevea is perfect nutritious option to start the day. Overall, Crevea is a fantastic choice that aligns with a healthier lifestyle and is highly recommended for a delightful and refreshing treat.",Pina Colada
India,"The fact that i loved the most was that none of these products have any refined sugars in them which makes it a perfect substitute for all the sugar filled products out in the market.
 It doesn't compromise on the taste and manages to provide a yummy flavor! A good, healthy and quick fix to satisfy your hunger. Definitely recommend trying it.",Pina Colada
India,"My first time trying Crevea smoothie mix and now it has become my morning ritual, starting my day with these smoothie mix and it leaves me feeling full for hours.
 Full on value for money and amazing flavour mixes. A must try in my opinion.",Pina Colada
India,"Crevea smoothie premixes are amazing option for busy mornings without compromise on taste and health. The best part is no refined sugar, yet tasty enough to fulfil sweet cravings. The rare Banana and Pineapple smoothie surprised me with flavourful taste. Wonderful ProductsðŸ‘ðŸ» worth buying, trying and re-orderingðŸ˜ƒ",Pina Colada
India,"A best source of healthy calories with instant energy by Crevea. Very easy & tasty recipe by just adding the powder in a milk, stir for a while & your healthy drink is ready ðŸ˜‹ Enjoy!",Pina Colada
India,Superb product. Very tasty and healthy,Pina Colada
India,Not good to taste,Pina Colada
India,"Im so glad I ordered these, they taste great and loved the flavours
 1. Easy to make and easy to carry
 2. Great flavours
 3. Real and healthy ingredients
 4. Worth the money
 
 Thumbs up for the great product!!!",Pina Colada
India,"Just mix the smoothie powder with milk, add extra sweetner (if you need) and you are ready with healthy & quick option to sort your hunger pangs. Healthy as it is made up of actual fruits, oats, ragi, fibers & not loaded with sugar.
 I usually don't like choco powder but the choco powder from Crevea is different. This is the first one that I liked. I give this to my baby too as it a healthy one which is not loaded with sweetners.
 Cheers to them for the new innovation in the healthy snacking segment.",Pina Colada
India,I tried this product and it is super refreshing with new and varied flavours experimentedâ€¦. A must try for the ones who prefer healthy eating / drinking.,Pina Colada
India,"Absolutely love this instant smoothies personally favourite is cocoa + barley!
 The convenience is unbeatable, and the taste is just as fresh and delicious as making it from scratch. Must buy.",Pina Colada
India,"Has everything I need - Easy to make, great flavours plus it's healthy.",Pina Colada
India,I bought combo of smoothies. All are very delicious and healthy. It is not very sweet. The quantity is also good in each packet. Worth buying.,Pina Colada
India,All the flavours are great and it fills your stomach with a filling. The best way to start your day.,Pina Colada
India,Tried crevea products for the first time and it tastes amazing. It is healthy as well as tasty. Will keep buying again!,Pina Colada
India,This is the best product i have ever got the taste was very delicious ðŸ¤¤ðŸ¤¤ everyone should try it.,Pina Colada
India,"Dry fruits quality is superb,
 Packing very nice
 Banana pineapple shack ðŸ˜‹ really yummy",Pina Colada
India,"I tried this product and it tastes amazing ðŸ™Œ
 The drinking chocolate is my favourite.",Pina Colada
India,Good product healthy for body I'm loving it so much,Pina Colada
India,Good Quality and Taste is also very nice,Pina Colada
India,Liked the product. Easy to make saving me time and effort while delivering a nutritious and satisfying drink. Worth giving it a try.,Pina Colada
India,"Since a long time I have been searching for a good smoothie product and recently came across this amazing product that has Healthy Ingredients, Yummy Taste and also keeps the Stomach Full. Also, this product has Decent Shelf Life and NO preservatives which makes it even more amazing at this Price! Thanks for launching this Amazing Product CREVEA!!...",Pina Colada
India,"Found this product while searching for instant and healthy mixes. These are real fruit powders, not too sweet, and as per description the sugar is not refined. Pure dark chocolate was amazing. Oats and ragi are also added in the flavors. Healthy and adds taste to the milk. The packaging dose not make false promises. Definitely ordering more!",Pina Colada
India,"Amazing products, give it a try, specially when on the go. Great work, specially the banana one. Keep up the good work",Pina Colada
India,"This is a must buy item, healthy and full of flavour. Don't hesitate and go for it.....you'll fall in love with Crevea! ðŸ˜Š",Pina Colada
India,"Products are really amazing with real fruit powders.
 Good quality product at decent price.
 No Artificial ingredients and truly healthy",Pina Colada
India,"Value for money
 Best snacking nuts with huge quantity and very cheap price
 Specially banana pineapple shake is very pure and testy
 I love this product â¤ï¸",Pina Colada
India,"First of all these are very convenient and easy to use.
 You can actually taste the fruits oats seeds in the smoothie
 Chocolate is also grt. I personally like dark chocolate
 Packaging looks good
 
 Only con is that it's not as thick as fresh homemade smoothie. But is a very practical and convenient alternative.
 
 I would definitely want to try more flavors",Pina Colada
India,"Amazing Taste and Healthy thick Shake
 Too much sugar though could have been better.",Pina Colada
India,Good,Pina Colada
India,Good taste.,Pina Colada
India,Liked by my kids. They love it.,Pina Colada
India,"It's great but Not as thick as a frappe from Real .
 Tastes good .",Pina Colada
India,"Smoothie is thickened and loaded with sugar.
 Tasty but not a healthy drink - donâ€™t fall for the â€œmilkâ€ in the product name, thatâ€™s a marketing gimmick. More like a sugary drink.",Pina Colada
India,"I drink, this product very nicely , super. Its very nice. Pina Colada flavor is super. Neat and clean packageing power",Pina Colada
India,All the flavours are awesome. It is the best combination of taste and health. I loved the taste which is superb. It has no sugar which is good for health conscious people like me.,Chocolate
India,Taste is average & quantity is less for cost,Chocolate
India,"I really loved all the flavours of protein, but one of the best is cold coffee from my personal point of view. Try it. Really have 18gram of protien.",Chocolate
India,Best tasting smoothie Sweetness is perfect & on the lower side ultimate traveling protein supplement in my opinion at a reasonable price Digestion is also good & easy on stomach,Chocolate
India,Great smoothie from phab side great in taste rich in protein and healthy as well good for morning routine liquid diet I'll suggest you to try it.,Chocolate
India,They must come out with a 300 ml bottle to have a fulfilling drink. Grenade has 25 grams of protein per drink and 300 ml will be a great match to get to that protein level.,Chocolate
India,These are some of the best flavors of smoothie i tried. Loved the taste and gives good results.,Chocolate
India,The drink is not consistent and feels like the taste is solubles. Tried all flavors in the multi pack but the taste seemed more like whey. Overall not a great drink. The composition for protein vs carb was good,Chocolate
India,Ok,Chocolate
India,"Superb taste
 Strawberry one is the best
 Go for it
 A must have shake",Chocolate
India,"Best tasting smoothie. Far better than powdered supplements. Sweetness is perfect & on the lower side. Strawberry is the best tasting out of the three. The ultimate traveling protein supplement in my opinion and very lucratively priced. Digestion is also good & easy on stomach.
 Only issue is that they havenâ€™t mentioned the component of milk protein.",Chocolate
India,Liked it a lot. Will order more of this.,Chocolate
India,Nice,Chocolate
India,The bottles were leaking and the product was damaged. It was smelling very bad as well.,Chocolate
India,Authentic flavors. 17g protein at this price is value for money. Take it if you are into redimix.,Chocolate
India,Value for money and good flavour. Personally liked Swiss chocolate the most,Chocolate
India,"Very disappointed the seller sent me all stale and bad shakes
 Can't be drank they've gone all bad like the expired ones but they're not expired also but don't know why they sent such bad product like this
 This product phab milkshake is really amazing I've been having it since long time but this seller has sent me bad
 They should probably send me good ones again",Chocolate
India,bad,Chocolate
India,We got the delivery but every bottle was spoilt. This is a non returnable item so it was money thrown,Chocolate
India,These shakes taste horrible and extremely sweet. Would not buy/recommend.,Chocolate
India,Superb product,Chocolate
India,This protein shake having delicious and creamy milk taste. Ideal choice for healthier snackers.,Chocolate
India,"Superb. Very delicious protein milkshake, Really liked the chocolate and cold coffee flavor. Highly recommended !!",Chocolate
India,"All three flavours are damm good ...and especially there is no added sugar in it which makes it more healthy than any drink now u can drink this without any guilt ...u should try it too ,it's tasty healthy and full of protein",Chocolate
India,This drink is very good in taste. All the flavours are very yummy. Specially cold coffee. This drink is not only tasty but this gives energy also.,Chocolate
India,"Phab Protein Smoothies are awesome! They have a big 18g of protein and vitamins like B12, A, and D. It's like a powerhouse for my body! Plus, it's got lots of calcium which is good for bones. And guess what? No extra sugar! The taste is super yummy, like a treat.",Chocolate
India,"I really loved the taste of these shakes and it was thick and smooth texture shakes and it was full of protein,i used it after gym workouts",Chocolate
India,"Easy to carry during travel.
 Taste great.packaging also good.
 Value of money.
 Price little bit higher but it's good choice for fitness lovers.",Chocolate
India,Received fake product. The seals were half open and it looked like old bottles had been refilled with fake product. It tasted weird. Dont know what to do with the two variety packs that i unfortunately ordered.,Chocolate
India,Finally a product we have all been waiting for ! Sugar free smoothie . Easy to carry around as well,Chocolate
India,"It was soo good. Chilled will taste better actually to feel the cold coffee flavour in your mouth. It has a high protein content. It is delicious, with the right balance of chocolate and other flavors. Don't drink at room temperature. It does not feel â€˜artificialâ€™ upon taste.
 This Price Range Tastes Great As Well A Fantastic Product by PHAB..",Chocolate
India,"On my third order of these shakes, strawberry is bestest I like this assorted pack bcoz it gives variety quality nd quantity both absolutely fine according to price",Chocolate
India,"This a fantastic protein drink. I ordered all flavour that was very delicious, and their chaas flavour drink is also amazing it taste just like masala chaas. Its easy and convenient protein source for instatnt use. The packaging is very nice and bottles are easy to carry if going to gym or outside workout. I really liked that unlike many other protein shakes it doesnot have any added sugar. Highly recommended.",Chocolate
India,Very tasty protein shake with 18gms of protein content. 3 different flavours. Good option for gym freaks in replacing the common packaged drinks without compromising with their goals.,Chocolate
India,"Phab smoothie
 It is protien smoothie with pack of 3 flavours strawberry,coffee and chocolate. The shake was thick and delicious. My fav was cold coffee great taste.",Chocolate
India,It's very tasty and good chocolate flavour kids enjoyed well.,Chocolate
India,All you'll taste is sugar. Lack of chocolate. Is this what people like? Yes. But not people who like chocolate. It's great for kids who haven't developed their tastebuds yet - their parents will be glad that they've done their job and fed their children a nutritious milk-based snack. But this is actually horrible for your health. Diabetes in a box.,Chocolate
India,Good as expected,Chocolate
India,It's perfect...,Chocolate
India,"Nearly made me gag. It tastes so artificial. There is nothing chocolatey about it. Just avoid and buy Sunfeast chocolate shake. You will not regret. However you taste this, you will throw away the full carton.",Chocolate
India,"It has a very very synthetic taste. I personally dont like it at all. But some kids in family like the chocolate one and hence ordered this one for variety. But oh my goodness, it doesnt taste anything like cookies and cream. It just tastes like cheap butterscotch flavor without the crunchy bits in it. Will never buy this again,. You are better off buying ingredients and making your own milkshake. This is a synthetic sugary mess",Chocolate
India,tastes like chocolate milk,Chocolate
India,"I recently tried the Crevea Fruity Smoothie Mix, and it exceeded my expectations. This was delicious containing fruit powder, oats, chia seeds. it tasted really good.
 If you like strawberries then you should surely try this once.",Fruity
India,"This strawberry smoothie will help you satisfy your cravings guilt-free. It's packed with wholesome goodness, it's the perfect treat for fitness enthusiasts looking for healthy and tasty refreshment.",Fruity
India,A must try health drink without any sugar. It is quick to make and tastes so fresh. I had it in chilled milk and it tastes like an ice cream (without the guilt). Amazing products Crevea!,Fruity
India,"Crevea Strawberry Smoothie Oatmeal Mix has become my morning go-to for a delicious and nutritious breakfast. I love the natural flavors of real fruits and the added benefits of oats, chia seeds, and plant protein. It's easy to prepare and keeps me feeling satisfied for hours without any discomfort. Plus, I appreciate that it's free from refined sugar and preservatives. Highly recommend for anyone looking for a healthy and convenient breakfast option!",Fruity
India,"CREVEA Mexican Brown Smoothie Mix is a breakfast game-changer! Packed with real fruits, oats, ragi, and cocoa, it offers a perfect blend of taste and nutrition. I love how it keeps me feeling satisfied for hours without any bloating or discomfort. Plus, it's vegan, gluten-free, and free from refined sugar, making it a guilt-free indulgence. Whether blended with milk or enjoyed as a quick no-blend smoothie, it's a convenient and delicious way to start the day. Highly recommend giving it a try!",Fruity
India,"Crevea Strawberry Smoothie Oatmeal Mix is the perfect breakfast solution for anyone looking for a healthy and convenient option. I love the natural fruit flavors and the added benefits of oats, chia seeds, and plant protein. It keeps me feeling satisfied and energized throughout the morning without any bloating or discomfort.",Fruity
India,"Crevea Mango Breakfast Smoothie Mix has transformed my mornings. It's quick, delicious, and keeps me full without any discomfort. Love the natural flavors and nutrient-packed ingredients. A definite game-changer for busy mornings!",Fruity
India,Crevea Mango Breakfast Smoothie Mix is now a morning staple for me. It's easy to prepare and keeps me energized until lunchtime. Love the natural fruit flavors and balanced nutrients. Definitely worth trying!,Fruity
India,"The product is really tasty and heathy; rich in falvour. The quantity is very good and it is worth buying.
 Best for any weather,enjoy it",Fruity
India,I was browsing through on the go milk mixes on Amazon and I came across this product. Gave it a try..loved it and recommended my friends to try it too. It's very instant and has no preservatives. This review is after making a couple of drinks. I'm glued to it. Yum!,Fruity
India,"Beware, it has more sugar in 1 pack than suggested daily amount. So make sure you dont drink it for pleasure or everyday",Fruity
India,Delivery time OK?,Fruity
India,Awesome drink. The flavour is very fulfilling. Thanks,Fruity
India,Great Taste and value for money,Fruity
India,"Solid choclate shake. Not too sweet, go for it when you're feeling low or when you've bitten into something spicy. Doesn't disappoint!",Fruity
India,Good,Fruity
India,Ok to drink,Fruity
India,"One of the very few drinks that our family enjoys.
 
 An impeccable WOW experience.
 
 Amazing taste.
 Amazing packaging.
 Amazing chocolate flavour. But not TOO MUCH chocolate like other drinks. Just enough chocolate to add to the flavour.
 
 Overall, surely a WOW feeling. We enjoy thus drink regularly.",Fruity
India,"Its the best smoothie, the taste and quality are good.",Fruity
India,Delicious,Fruity
India,"Tastes better when cold.
 Compact packaging, timely delivery.",Fruity
India,Good product for grinishing.,Fruity
India,Excellent flavour worth the money.,Fruity
India,I didnt like the taste. Too liquidity and tasteless for a smoothie.,Fruity
India,This smoothie is good and flavor is brilliant and it taste good at this price this smoothie is worth it,Fruity
India,Product was about to expire don't buy,Fruity
India,"Super taste
 Super quality
 Go for it",Fruity
India,Mundane!!!,Fruity
India,Good to taste..... Received in good condition....,Fruity
India,Flavour is bit off. Prefer the choclate flavour better. Overall sugar content should be reduced,Fruity
India,Product is good and delicious,Fruity
India,Taste better when chilled,Fruity
India,Not good,Fruity
India,"The taste is beyond expectations, while ordering I was hesitant whether IL Lik it or not as I'm very choosy. But to my surprise I loved it and I will order more now.",Fruity
India,One Can Was tempered and taste changed ..,Fruity
India,"It is an ultimate smoothie. Easy to prepare, perfect meal replacement or quickfix mid snacking, tastes super.",Coffee
India,Didnt find it worth purchasing as flavors just name shake as all taste same - tasteless. Better eat fruits directly rather than this expensive product,Coffee
India,"But it should be priced not more then 50 Rs. Its very expensive. Price is not justified
 But its a good product i use it daily.",Coffee
India, Stumbled upon Frugease while looking for healthy smoothies . Decided to give it a shot and found it palatable & delicious ! The icing on the cake is the long shelf life & unique flavors .,Coffee
India,"Super food!! It's the best 30 second breakfast option for me. I tried it with cow milk and it was super filling.
 I love the challenger smoothie as it is tasty and provides me right amount of daily nutrition.",Coffee
India,"Taste and quality of this smoothies is very good. It's all 6 flever is very good. I tried all, all is delicious. All are fresh and energetic.",Coffee
India,Amazing product. Gives you instant energy and refreshment. Its unique blends offers you with lot of variety and nutrients which makes it a healthy drink. My favourite blends are Inspirer and Challenger.,Coffee
India,"It is a non preservative smoothie, an ideal snack that will tame your hunger in no time. All the flavors are awsome.
 My daughters personal fav is strawberry..
 Must try product.",Coffee
India,Loved these smoothie mixes.The flavors are too good. They are healthy and with no added sugar which is the best part.,Coffee
India,Excellent Smoothie to avoid unnecessary food cravings and delicious taste for healthy diet conscious minds...,Coffee
India,I ordered this pack of 6 and tried 3 of them and taste is pathetic. Not sure about the nutrition but taste is so bad you canâ€™t take another sip.,Coffee
India, They are sooo delicious! Loved them!,Coffee
India,The taste is like saw dust,Coffee
India,Horrible taste I have ever tried thought of writing a better review but the taste was really bad .,Coffee
India,not at all good product .They should have run a test for their product before put out in market.It taste like **** and it doest blend or mix with milk properly.I would have given a 0 star but for the idea 1 star.,Coffee
India,I just dont like it at all,Coffee
India,"Bought a pack of 15 or 30 from the website to try it out. Absolutely does not blend. Formula is so bad. It's always lumpy. I tried regular shaker, shaker with the ball, a blender, and even mixing it in a glass. Just does not blend well enough, always leaves lumps.",Coffee
India,Tastes like poop !!,Coffee
India,The quality of this is really amazing!! Love the taste and texture. I drink this and it keep me full (replaces a meal). Also feels refreshed. Buying it again.,Coffee
India,"It is a great nutrition product, which in one serving is like a mini-meal! Only wish it was slightly more affordable, since 550 rupees for 7 packs is slightly expensive, but still better than outside smoothies!
 
 Must try at least once! Considering buying it again! :D",Coffee
India,I ordered this pack of 6 and tried 3 of them and taste is pathetic. Not sure about the nutrition but taste is so bad you canâ€™t take another sip.,Coffee
India,They are sooo delicious! Loved them,Coffee
India,The taste is like saw dust,Coffee
India,Horrible taste I have ever tried thought of writing a better review but the taste was really bad .,Coffee
India,I don't know why all Hershey's chocolate products smell like vomit.. tried twice and thrice.. never doing same mistake again. Don't know how this is such a popular brand,Coffee
India,I just dont like it at all,Coffee
India,"Bought a pack of 15 or 30 from the website to try it out. Absolutely does not blend. Formula is so bad. It's always lumpy. I tried regular shaker, shaker with the ball, a blender, and even mixing it in a glass. Just does not blend well enough, always leaves lumps.",Coffee
India,Tastes like poop !!,Coffee
India,The quality of this is really amazing!! Love the taste and texture. I drink this and it keep me full (replaces a meal). Also feels refreshed. Buying it again.,Coffee
India,"It is a great nutrition product, which in one serving is like a mini-meal! Only wish it was slightly more affordable, since 550 rupees for 7 packs is slightly expensive, but still better than outside smoothies!
 
 Must try at least once! Considering buying it again! :D",Coffee
India,Received crushed and puffed tetra packs,Coffee
India,Very good flavor and quality.,Coffee
India,Good,Coffee
India,Good taste,Coffee
India,not at all good product .They should have run a test for their product before put out in market.It taste like **** and it doest blend or mix with milk properly.I would have given a 0 star but for the idea 1 star.,Coffee
India,I received a duplicate product,Coffee
India,Should be 6 and received only 5,Coffee
